"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.326721738258274,0.0310904004568046,10.508765839546,2.44868893191587e-25
"`ecosystemcategory=terrestrial`",0.110153216266099,0.019894915395497,5.53675218397919,3.38243170487955e-08
"`ecosystemtype=soil`",0.0333399451488531,0.0207241934976707,1.60874511968827,0.107790664615843
"`knownhabitats=soil`",-0.0331866659073022,0.0172957019277651,-1.9187810963617,0.0551188689284333
"`habitat=terrestrial`",0.186654198788713,0.0179991866555742,10.3701462938554,9.95695959696992e-25
"`metabolism=nitrogenfixation`",-0.00407117869127524,0.0135298997012052,-0.30090235561115,0.763512453423801
"`metabolism=nitrogenproducer`",-0.415724614813536,0.0224408372573242,-18.5253611550457,3.66244214114956e-72
"`oxygenreq=facultative`",0.00734114021416644,0.0155813094021668,0.471150403646149,0.637571940542385
"`oxygenreq=strictaero`",0.0859143087704186,0.0173184940417991,4.9608417777585,7.46077194429672e-07
"`oxygenreq=strictanaero`",-0.0143781175289198,0.0182464589796478,-0.787994949867104,0.430769820394648
"sporulation",-0.103331034366993,0.0125945086914055,-8.20445139217747,3.56417677006477e-16
"`temperaturerange=hyperthermophilic`",-0.083495218309231,0.0244996360603917,-3.40801871927464,0.000664090608911734
"`temperaturerange=mesophilic`",0.134281492231631,0.0229891291901481,5.84108650314501,5.81638646775381e-09
"`temperaturerange=thermophilic`",0.252656535433699,0.0269269836704039,9.38302405224092,1.32824551249768e-20
"`oxygenreq=microaerophilic`",-0.063190330225242,0.0152486015881802,-4.1440082134629,3.51937747994199e-05
"`temperaturerange=psychrophilic`",-0.242989872927925,0.0188768092845039,-12.8724017531605,7.89192914663869e-37
"KuTRUE",0.0126640174540481,0.00443140709143068,2.8577869721194,0.00429920505079239
